#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00530 -121.78746   20.37177    1341582.703     0.684    -5.466   1  15  15   0.232   0.056   0.044  -0.228  -0.056   0.658   1.430   1.575 
00540 -121.58378   19.88845    1341491.132     1.033    -4.853   1  14  14   0.376   0.623   0.114  -0.358   0.623   0.698   1.637   1.780 
00550 -121.38158   19.40478    1341400.914     1.075    -4.881   1  14  14   0.385   0.672   0.111  -0.368   0.672   0.697   1.633   1.776 
00560 -121.18081   18.92075    1341312.743     1.104    -4.904   1  14  14   0.364   0.754   0.101  -0.350   0.754   0.697   1.628   1.771 
00570 -120.98143   18.43638    1341226.596     1.138    -4.952   1  14  14   0.361   0.811   0.086  -0.350   0.811   0.696   1.627   1.769 
00580 -120.78340   17.95168    1341142.478     1.142    -4.961   1  14  14   0.361   0.814   0.106  -0.345   0.814   0.696   1.623   1.766 
00590 -120.58667   17.46666    1341060.392     1.075    -4.923   1  14  14   0.369   0.738   0.115  -0.351   0.738   0.697   1.616   1.760 
00600 -120.39119   16.98133    1340980.557     1.097    -4.981   1  14  14   0.344   0.768   0.075  -0.336   0.768   0.697   1.613   1.757 
00610 -120.19693   16.49570    1340902.877     1.106    -5.042   1  15  14   0.325   0.779   0.048  -0.321   0.779   0.699   1.608   1.753 
00620 -120.00384   16.00979    1340827.371     1.104    -5.097   1  15  14   0.308   0.761   0.047  -0.304   0.761   0.700   1.603   1.749 
00630 -119.81188   15.52359    1340754.113     1.107    -5.176   1  15  14   0.304   0.760   0.043  -0.301   0.760   0.702   1.600   1.747 
00640 -119.62100   15.03713    1340683.062     1.080    -5.021   1  15  15   0.265   0.706   0.028  -0.263   0.706   0.687   1.591   1.733 
00650 -119.43118   14.55041    1340614.248     1.010    -4.988   1  15  15   0.242   0.604   0.013  -0.241   0.604   0.690   1.586   1.729 
00660 -119.24237   14.06344    1340547.825     0.979    -5.089   1  15  15   0.238   0.578  -0.005  -0.238   0.578   0.693   1.582   1.728 
00670 -119.05453   13.57623    1340483.755     0.996    -5.102   1  15  15   0.239   0.567  -0.022  -0.238   0.567   0.696   1.577   1.724 
00680 -118.86762   13.08878    1340422.000     0.972    -5.173   1  15  15   0.248   0.507  -0.021  -0.247   0.507   0.700   1.572   1.721 
00690 -118.68161   12.60112    1340362.629     0.889    -5.236   1  15  15   0.253   0.446  -0.038  -0.250   0.446   0.704   1.567   1.718 
00700 -118.49645   12.11325    1340305.745     0.886    -5.159   1  15  15   0.254   0.462  -0.026  -0.253   0.462   0.708   1.562   1.715 
00710 -118.31212   11.62517    1340251.276     0.829    -5.109   1  15  15   0.250   0.461  -0.037  -0.247   0.461   0.713   1.556   1.711 
00720 -118.12857   11.13690    1340199.260     0.809    -5.169   1  15  15   0.252   0.460  -0.033  -0.250   0.460   0.717   1.548   1.706 
00730 -117.94576   10.64845    1340149.780     0.826    -5.128   1  15  15   0.239   0.521  -0.033  -0.237   0.521   0.723   1.544   1.705 
00740 -117.76367   10.15982    1340102.820     0.855    -5.133   1  15  15   0.238   0.608  -0.084  -0.222   0.608   0.728   1.537   1.700 
00750 -117.58226    9.67102    1340058.289     0.802    -5.135   1  15  15   0.212   0.613  -0.102  -0.187   0.613   0.733   1.532   1.698 
00760 -117.40149    9.18207    1340016.352     0.880    -5.237   1  15  15   0.195   0.683  -0.111  -0.161   0.683   0.738   1.524   1.694 
00770 -117.22132    8.69296    1339976.788     0.818    -5.174   1  15  15   0.208   0.579  -0.120  -0.169   0.579   0.744   1.519   1.692 
00780 -117.04173    8.20371    1339939.921     0.853    -5.235   1  15  15   0.194   0.608  -0.124  -0.150   0.608   0.750   1.514   1.689 
00790 -116.86268    7.71433    1339905.558     0.836    -5.306   1  15  15   0.192   0.565  -0.122  -0.148   0.565   0.756   1.507   1.686 
00800 -116.68414    7.22483    1339873.840     0.852    -5.388   1  15  15   0.182   0.575  -0.125  -0.132   0.575   0.763   1.502   1.685 
00810 -116.50606    6.73521    1339844.762     0.901    -5.527   1  15  15   0.181   0.618  -0.114  -0.141   0.618   0.770   1.495   1.681 
00820 -116.32843    6.24548    1339818.221     0.870    -5.503   1  16  15   0.183   0.583  -0.111  -0.146   0.583   0.776   1.487   1.678 
00830 -116.15120    5.75565    1339794.397     0.902    -5.526   1  16  15   0.169   0.633  -0.119  -0.120   0.633   0.783   1.483   1.677 
00840 -115.97435    5.26572    1339773.170     0.892    -5.511   1  16  15   0.166   0.641  -0.121  -0.114   0.641   0.790   1.477   1.675 
